"neighbourhood","Mean(price)"
"Condomínio Rivieira do Lago ",30.36
"Condomínio Terras de São José I",65.835
"Coney Island",116.4705882352941
"Consolacao",175.395
"Consolação",203.313
"Constitución",27.599153846153847
"Continuación de calle Nuñorco, alt al 1900",52.948
"Convention Center",190
"Coogee",203.49285185185192
"Coolalta",348.92
"Cooper-Young",128
"Copacabana",75.66440775364278
"Coqueiros",60.9675
"Coral Way",150.42857142857147
"Coração de Jesus",62.37
"Cordovil",29.535
"Corona",102.58333333333334
"Corona Del Mar",1205.5
"Cortes",229.9098
"Cosme Velho",92.15642857142858
"Cosmos",28.6275
"Costa Coral",79
"Costa Mesa",308.25
"Costazul",63.195
"Country Hills",246
"Courtyard 2E",335.5
"Covent Garden",412.9200295202953
"Coventry",255
"Covina",75.66666666666667
"Cow Hollow",900
"Cremorne",163.8245925925926
"Crenshaw",190.33333333333334
"Crescent City North",150
"Crescenta Highlands",288.3333333333333
"Crest Park",171
"Cricklewood",198.61599999999999
"Crocker Amazon",170
"Croissant Park",96
"Cronulla",226.68463157894735
"Crouch End",232.837
"Crown Heights",184.22512249443204
"Crown Ridge",356
"Crows Nest",323.0256
"Croydon",83.61666666666667
"Crystal Palace",125.86841666666669
"Cuiabá",40.3425
"Culcommon",35.145
"Culver - West",201.29032258064512
"Culver City",200.9157894736842
"Curicica",41.58767441860466
"Cypress Hills",139.1827956989248
"Cypress Park",121.8
"Córcega",97
"D",17.151
"DUMBO",194.54545454545453
"Da'an",318.1992
"Dalston",175.40076923076919
"Daly City",99
"Dana Point",254
"Darling Point",361.81714285714287
"Darlinghurst",460.56686614173225
"Darlington",133.556
"De Beauvoir Town",187.73088888888893
"Deals Gateway",168.21275862068967
"Defensa",11.346
"Del Castilho",32.82125
"Del Rey",190.33846153846162
"Delthorne",78.24999999999999
"Demun",229.66666666666666
"Denpasar",165.388
"Departamento 805",27.42
"Deptford",154.41387500000002
"Desert Park Estates",427
"Desert View Village",106
"Deux Plateaux",61.6
"Diagonal Mar - La Mar Bella",194.94588235294117
"Din Daeng/Huai Khwang",53.20723114754095
"Discovery Bay",43.4
"Ditmars / Steinway",94.36842105263158
"Ditmars Steinway",144.81250000000003
"Docklands",226.0359245283019
"Dog Kennel Hill Estate",174.46
"Don Mueang",29.305979166666663
"Dongan Hills",102.33333333333333
"Dorp Soto",80.64
"Double Bay",194.31933333333333
"Douglaston",176
"Downey",130.09999999999997
"Downham",43.51914285714285
"Downtown",217.8552036199095
"Downtown Anaheim",140.83333333333331
"Downtown Austin",244.3125
"Downtown Brooklyn",220.99999999999997
"Downtown Core",69
"Downtown Jersey City",425.25
"Downtown Los Angeles",190.31799356223158
"Downtown Menlo Park",252
"Downtown Mesa",606
"Downtown Miami",80.04966666666667
"Downtown North",230
"Downtown Palm Springs",298
"Downtown Riverside",389.5
"Downtown San Jose",154
"Downtown Seattle",154
"Downtown South",440.2
"Doña Justa",61.458
"Dreta de l'Eixample",284.8261658841939
"Drummoyne",146.50628571428572
"Drutamy",132.172
"Duarte",125
"Dubai Festival City",93.775
"Dubai Marina",133.86672727272733
"Dublin Docklands",174.19160000000002
"Duckett's Green",215.31047999999998
"Dulwich",179.157
"Dulwich Estate",161.04
"Dulwich Hill",92.4512
"Dulwich Village",171.87923076923076
"Dumbo",346.29999999999995
"Dupont Park",156.5
"Duque De Caxias",62.37
"Dusit",39.114914285714285
"Dutch Kills",172
"Dyker Heights",125.62500000000001
"EDIFICIO STUDIOS",90.98481818181817
"Eagle Rock",175.734375
"Ealing",194.03083333333336
"Ealing Common",93.94
"Earl's Court",251.8486666666667
"Earls Court",357.2836903225806
"Earlsfield",136.99583333333334
"Earlwood",97.26444444444444
"East Austin",295
"East Avenue",463.5
"East Beach",489.6666666666667
"East Boston",185.196
"East Bronx",117.90999999999998
"East Central",410
"East Cesar Chavez",179
"East Clayton",197.274
"East Downtown",95
"East Dulwich",208.06834782608695
"East Elmhurst",138.66666666666666
"East Flatbush",125.95081967213119
"East Ham",112.72800000000001
"East Harlem",141.9125000000001
"East Hollywood",133.991935483871
"East Los Angeles",129.56363636363636
"East Melbourne",262.9225945945946
"East Naples",280
"East New York",162.64039408866992
"East Riverside - Oltorf",160.875
"East Rock",350
"East San Gabriel",74.78125
"East Sheen",181.74514285714287
"East Side",180
"East Side Costa Mesa",451.5714285714286
"East Village",237.19365060240966
"East Williamsburg",195.94444444444446
"Eastchester",129.33333333333334
"Eastern Malibu",1285.60606060606
"Eastmoor",240
"Eastside",164.622641509434
"Eastvale Downs",144.42857142857142
"Eastwood",128.02
"Ebisu/Daikanyama",343.16765
"Echo Park",175.67234042553196
"Edenvale",449
"Edenwald",94.4375
"Edgecliff",1038.346
"Edgehill",212.25
"Edgewater",221.30812500000002
"Edgewood",166
"Edmonton",63.45742857142857
"Edogawa District",141.6926666666667
"Effra Gardens ",174.46
"Eixample",153.33818181818182
"El Aguasal",43.7295
"El Baix Guinardó",119.89090909090908
"El Besòs i el Maresme",108.72
"El Born",93.40121212121217
"El Camp de l'Arpa del Clot",129.1027027027027
"El Clot",136.53433962264157
"El Coll",124.88000000000001
"El Congrés i els Indians",110.88
"El Dorado Park",234
"El Dorado South",242
"El Gouna",126.148
"El Gòtic",195.91771428571437
"El Miradero",189.77777777777777
"El Monte",150.74074074074073
"El Poble-sec",269.2006266318538
"El Poblenou",219.3563076923076
"El Porto",377.391304347826
"El Putget i Farró",143.92
"El Rancho",154.54545454545453
"El Raval",148.19381263616552
"El Refugio",74
"El Remanso",34.35366666666667
"El Segundo",197.75675675675677
"El Sereno",82.29411764705883
"El Tesoro",44.165
"El Viso",196
"Elephant Park",281.82
"Elephant and Castle",212.47665671641792
"Elizabeth Bay/Rushcutters Bay",340.03045783132524
"Elizabethport",187.5
"Elm Park",63
"Elmhurst",60.17518248175184
"Elmwood",479
"Eltingville",117
"Elwood",174.39507199999994
"Elysian Valley",90.16666666666667
"Embarcadero",407.1818181818182
"Encantado",33
"Encarnação",383.812
"Encino",338.8421052631578
"Engenheiro Leal",33.825
"Engenheiro Passos",94.215
"Engenho Novo",17.708382352941175
"Engenho da Rainha",8.91
"Engenho de Dentro",39.986896551724136
"Enighed",141.12
"Enseada Azul",131.67
"Enseada da Pinheira",16.005
"Entre Piso 115",37.82
"Entre calles Mejico y Chile ",113.46
"Erskineville",147.77326315789475
"Escobar",112.28571428571429
"Esquina Avenida Independencia",30.392
"Esquina Carlos Calvo",26.616
"Esquina Monroe",33.093
"Estacio",47.784000000000006
"Estoril",60.8025
"Estácio",3331.9769999999994
"Eureka Valley",582
"Exposicao",55.0275
"Extensão Serramar",33.33
"Fabron",939.68
"Faircrest Heights",932
"Fairfax",227.51282051282053
"Fairlight",316.6765
"Far North Dallas",277
"Far Rockaway",157.70000000000002
"Farringdon",200.3094761904762
"Fazenda Deus Esteja",320.595
"Fazenda Inglesa",41.25
"Feldheym",266.25
"Fenway/Kenmore",496.53999999999996
"Ferndale",101.65650000000001
"Fernwood",281.70270270270265
"Ferrugem",64.675
"Fieldston",67
"Financial District",357.6063829787234
"Finsbury",491.172
"Finsbury Park",200.57651955307264
"Fish Island",178.80808
"Fitzrovia",457.93530739299604
"Fitzroy",197.99410169491532
"Fitzroy North",120.97418181818183
"Five Dock",80.27199999999999
"Five Points",161
"Flagey",297.2715789473684
"Flamengo",53.2437078651685
"Flatbush",112.65703971119132
"Flatiron District",410.44999999999993
"Flatlands",120.40350877192981
"Flean More",422.242
"Flemington",105.42353846153846
"Floral Park",227.5
"Florence-Graham",110.95
"Florentin",522.48
"Flores",27.247687499999998
"Floresta",54.989
"Flushing",123.21500000000002
"Fo Tan",193.248
"Footscray",106.24731707317075
"Fordham",68.5
"Fordham Heights",106.89999999999999
"Fordham Manor",65.16666666666667
"Forest Gate",70.35914285714284
"Forest Hill",112.15285714285714
"Forest Hills",171.73076923076925
"Forest Lodge",121.273
"Formoso",93.06
"Fort Greene",175.6363636363636
"Fort Hamilton",162.55555555555557
"Fort Wadsworth",55
"Fox Hills",280.47666666666663
"Foxhurst",158.4
"Frade (Cunhambebe)",70.62
"Frederiksberg",228.48
"Freguesia (Ilha do Governador)",26.93625
"Freguesia (Jacarepaguá)",23.595
"Freguesia de Jacarepaguá",81.61499999999998
"Fremont Park",270.5
"French Quarter",487
"French Riviera",176.96
"Fresh Meadows",83.66666666666667
"Frick",100.66666666666667
"Friedrichshain",126.292
"Friendly Hills",560.5
"Fréjus",355.04
"Fulham",381.7740584795327
"Funcionários",52.8
"Furzedown",123.464
"Fushimi-ku ",58.072875
"Galway ",89.914
"Gambetta",236.69333333333333
"Gamboa",40.66071428571428
"Gamle Oslo",134.87099999999998
"Garatucaia",31.185
"Garden Grove",131.66666666666666
"Garden Lakes",367
"Gardena",84.52380952380952
"Gardendale",250
"Gardner",87
"Gardênia Azul",24.915
"Gare de Lyon",150.72749999999994
"Gare du Nord - Gare de I'Est",201.70664021163995
"Garfield",176
"Garrison",221.5
"Garvey",137.5288461538461
"Gateway District",476.8222222222221
"Gbagada",131.516
"Geriba",339.57000000000005
"Gerritsen Beach",157
"Gesylândia",33
"Ghanatown",120.78
"Giudecca",207.2
"Gladesville",156.8072
"Glassell Park",164.725
"Glebe",139.28422222222218
"Glen Avon",67.57142857142858
"Glen Iris",150.164
"Glen Park",119.66666666666667
"Glendale",175.25520833333337
"Glendora",114.36842105263158
"Glenwood",145.94285714285712
"Globe Town",143.18107692307692
"Glòries - El Parc",178.2106666666667
"Glória",48.15171428571427
"Gold Coast",367.708
"Golden Hill",179
"Golders Green",171.5842857142857
"Goose Hollow",72.8
"Gowanus",184.93220338983048
"Goya",75
"Grace Park",312.686
"Grachtengordel",108.702
"Grafton Street/St. Stephens Green",633.424
"Grajau",35.48678571428572
"Grajaú",27.493125
"Gramercy Park",149.55
"Granada Hills",285.7857142857144
"Granada Hills North",248.66666666666663
"Grand",199.58333333333334
"Grand Central",189.33333333333331
"Grandview",158.60000000000002
"Graniteville",99
"Grant City",34.75
"Grasmere",120
"Gravesend",116.94444444444444
"Grays Ferry",178
"Great Kills",147
"Great Park",74
"Greater Mulwood",151
"Greater South River City",76.5
"Green Valley",155
"Green Valley North",786
"Greenbriar",175.57142857142858
"Greenbush",600
"Greenpoint",281.33155080213885
"Greenville",78
"Greenwich",193.49046153846155
"Greenwich Village",341.8611111111111
"Greenwood Heights",150.3076923076923
"Gros-Caillou",217.5157894736842
"Grove Park",118.67114285714284
"Grumari",46.2825
"Grymes Hill",146
"Gràcia",89.88
"Guadalupe",32.175
"Guaratiba",137.4386538461539
"Guilford Hills",225
"Guilhermina",27.885
"Guinardó",166.9458823529412
"Guéliz",115.412
"Gávea",95.55122950819676
"H Street Corridor",499
"Haberfield",103.8
"Hackney",213.64022988505738
"Hackney Wick",133.1935
"Haggerston",146.00462962962962
"Haiku",122.915
"Hallfield Estate",199.287
"Hamilton Heights",112.46086956521735
"Hammersmith",240.4199238095237
"Hampstead",338.61396116504847
"Hanwell",148.00342857142857
"Harajuku",437.5
"Harbor",156.6774193548387
"Harbor City",124.82142857142857
"Harbor Gateway",73.58333333333331
"Harbor Gateway North",285.7
"Harlem",168.6893732970027
"Harlow",264
"Harringay",80.52
"Harringay Ladder",210.8554854771784
"Hastings Ranch",291
"Haut Saint-Gilles",168
"Hawaii Kai",97
"Haway",28.875
"Hawthorn",148.54733333333328
"Hawthorne",117.48623853211006
"Hayden Tract",134
"Haymarket",167.65938823529413
"Hazard",180
"Hazelwood",1018
"Hell's Kitchen",193.33101045296172
"Hendon",187.12512499999997
"Hermon",136.25
"Hermosa Beach",239.15000000000003
"Herne Hill",193.3849387755102
"Higashiyama-ku",133.245
"Higashiyodogawa-ku",190.15655555555557
"Highbridge",101.69999999999999
"Highbury",288.53
"Highbury East",389.18
"Highbury Square",167.75
"Highgate",227.0171020408163
"Highland Oaks",385
"Highland Park",182.50505050505043
"Higienópolis",73.32600000000001
"Hillcrest",78.76470588235296
"Hillsboro West End",330
"Hillsdale/Eastgardens",92.901
"Hillside",194.66666666666666
"Hilo",279.1066666666667
"Hipódromo",97.53999999999999
"Historic Highlands",242.5
"Historic South Central Los Angeles",112
"Historic Tennis Club",400
"Hither Green",110.3124
"Holborn",274.4226341463415
"Holland Park",1726.4570400000007
"Holly",84.72
"HollyGlen",149.6
"Hollywood",147.13646532438486
"Hollywood Hills",380.08032128514077
"Hollywood Hills West",821
"Hollywood Lakes",10
"Hollywood South Central Beach",1519.576038461539
"Homebush",110.72
"Homecrest",175.55555555555554
"Homerton",262.40573333333333
"Honor Oak",120.77999999999999
"Honório Gurgel",21.285
"Horta",92.512
"Hotel District",179
"Howard Beach",113
"Hoxton",108.33600000000001
"Hudson Square",312.6
"Humaitá",75.94714285714285
"Hunter Hills",46.86
"Hunter's Ridge",216
"Hunters Glen",63
"Hunters Hill",311.4
"Huntington Beach",168.4
"Huntington Park",145
