"price","bathrooms","accomodate","bedrooms","beds","Shared room","Hotel room","Australie","Argentine","Thaïlande","USA","Bresil","France","Japon","Espagne"
386.4,1.5,5,2,4,0,0,0,0,0,0,0,1,0,0
51.057,1,2,1,1,0,0,0,1,0,0,0,0,0,0
24.583,1,2,1,1,0,0,0,1,0,0,0,0,0,0
226.24,2,4,2,4,0,0,0,0,0,0,0,0,0,1
24.707,1,2,1,0,0,0,0,0,1,0,0,0,0,0
44.299,1,2,1,0,0,0,0,0,1,0,0,0,0,0
11.47,1,2,1,0,0,0,0,0,1,0,0,0,0,0
29.636,1,3,1,2,0,0,0,0,1,0,0,0,0,0
49.166,1,3,1,2,0,0,0,1,0,0,0,0,0,0
156,0.5,9,1,5,0,0,0,0,0,1,0,0,0,0
65.999,2,4,2,2,0,0,0,0,1,0,0,0,0,0
131.516,1,3,3,3,0,0,0,0,0,0,0,0,0,0
30.039,1,3,1,3,0,0,0,1,0,0,0,0,0,0
25.718,1,3,1,3,0,0,0,1,0,0,0,0,0,0
46.76,1,1,0,0,0,0,0,0,0,0,0,0,1,0
63.69,2,6,2,2,0,0,0,0,0,0,1,0,0,0
235.28,2,5,2,3,0,0,1,0,0,0,0,0,0,0
74.4,1,4,1,2,0,0,0,0,1,0,0,0,0,0
148.78,1,4,1,2,0,0,1,0,0,0,0,0,0,0
42.036,1,4,2,0,0,0,0,0,1,0,0,0,0,0
32.429,1,1,1,1,0,0,0,1,0,0,0,0,0,0
280,2,8,2,4,0,0,0,0,0,0,0,0,1,0
69.784,1,1,1,1,0,0,0,0,0,0,0,0,0,0
93.94,1,1,1,1,0,0,0,0,0,0,0,0,0,0
80.52,1,1,1,1,0,0,0,0,0,0,0,0,0,0
40.26,1,1,1,1,0,0,0,0,0,0,0,0,0,0
200.48,1,5,2,2,0,0,0,0,0,0,0,1,0,0
189.75,2.5,10,4,8,0,0,0,0,0,0,1,0,0,0
295.24,2,4,2,0,0,0,0,0,0,0,0,0,0,0
42.842,1,2,0,0,0,0,0,0,1,0,0,0,0,0
45.577,1,2,0,0,0,0,0,0,0,0,0,0,1,0
24.769,1,2,1,0,0,0,0,0,1,0,0,0,0,0
30.8,1,2,1,0,0,0,0,0,0,0,0,0,1,0
410.19,4,8,4,0,0,0,0,0,0,0,1,0,0,0
77.504,1,2,1,1,0,0,1,0,0,0,0,0,0,0
65.74,1,2,1,1,0,0,1,0,0,0,0,0,0,0
95.535,1,8,2,5,0,0,0,0,0,0,1,0,0,0
68,1,1,1,1,0,0,0,0,0,1,0,0,0,0
46.5,1,2,1,1,0,0,0,0,1,0,0,0,0,0
170,1,2,1,1,0,0,0,0,0,1,0,0,0,0
262,2,8,4,4,0,0,0,0,0,1,0,0,0,0
67.815,1,4,1,3,0,0,0,0,0,0,1,0,0,0
88.572,1.5,2,1,1,0,0,0,0,0,0,0,0,0,0
42.9,1.5,2,1,1,0,0,0,0,0,0,1,0,0,0
165,2.5,6,3,4,0,0,0,0,0,0,1,0,0,0
34.65,1,5,1,5,0,0,0,0,0,0,1,0,0,0
268.4,1,5,2,2,0,0,0,0,0,0,0,0,0,0
46.2,1,2,1,2,0,0,0,0,0,0,1,0,0,0
190.245,3.5,6,4,7,0,0,0,0,0,0,1,0,0,0
285.2,2.5,6,3,2,0,0,0,0,1,0,0,0,0,0
89.1,1.5,2,0,1,0,0,0,0,0,0,1,0,0,0
18.6,1.5,2,1,1,0,0,0,0,1,0,0,0,0,0
13.2,2,3,1,1,0,0,0,0,0,0,1,0,0,0
48.84,2.5,2,1,2,0,0,0,0,0,0,1,0,0,0
103.334,1,2,1,0,0,0,0,0,0,0,0,0,0,0
80.85,2,4,1,1,0,0,0,0,0,0,1,0,0,0
35.984,1,1,1,0,0,0,1,0,0,0,0,0,0,0
99,2,6,3,2,0,0,0,0,0,0,1,0,0,0
138.4,1,2,1,1,0,0,1,0,0,0,0,0,0,0
136.324,1,2,1,1,0,0,1,0,0,0,0,0,0,0
110.88,1,2,1,1,0,0,0,0,0,0,0,1,0,0
123.75,1,2,1,1,0,0,0,0,0,0,1,0,0,0
159.698,1,2,1,1,0,0,0,0,0,0,0,0,0,0
55.676,1,2,1,1,0,0,0,0,1,0,0,0,0,0
144.628,1,2,1,1,0,0,1,0,0,0,0,0,0,0
200.68,1,2,1,1,0,0,1,0,0,0,0,0,0,0
28.21,1,2,1,1,0,0,0,0,1,0,0,0,0,0
23.638,1,2,1,1,0,0,0,1,0,0,0,0,0,0
96.69,2,5,2,3,0,0,0,0,0,0,1,0,0,0
24.75,0.5,2,2,2,0,0,0,0,0,0,1,0,0,0
74.25,3,4,2,3,0,0,0,0,0,0,1,0,0,0
91.84,1,4,1,1,0,0,0,0,0,0,0,1,0,0
173,1,4,2,2,0,0,1,0,0,0,0,0,0,0
39.27,1,4,2,2,0,0,0,0,0,0,1,0,0,0
145.6,1,4,2,2,0,0,0,0,0,0,0,1,0,0
130.096,1,4,2,2,0,0,1,0,0,0,0,0,0,0
193,2,6,4,4,0,0,0,0,0,1,0,0,0,0
334.88,2,6,3,4,0,0,0,0,0,0,0,0,0,1
310.8,1,5,2,4,0,0,0,0,0,0,0,0,1,0
103.8,1,2,1,1,0,0,1,0,0,0,0,0,0,0
49.5,1,2,1,1,0,0,0,0,0,0,1,0,0,0
22.77,1,2,1,1,0,0,0,0,0,0,1,0,0,0
13.53,1,2,1,1,0,0,0,0,0,0,1,0,0,0
42.24,1,2,1,1,0,0,0,0,0,0,1,0,0,0
30.69,1,2,1,1,0,0,0,0,0,0,1,0,0,0
41.25,1,2,1,1,0,0,0,0,0,0,1,0,0,0
83.04,1,2,1,1,0,0,1,0,0,0,0,0,0,0
343.924,2.5,6,3,5,0,0,1,0,0,0,0,0,0,0
66.053,1,2,0,1,0,0,0,1,0,0,0,0,0,0
274,1,2,0,1,0,0,0,0,0,1,0,0,0,0
378.444,1,6,3,5,0,0,0,0,0,0,0,0,0,0
69.3,3,5,2,3,0,0,0,0,0,0,1,0,0,0
64.845,2,6,2,4,0,0,0,0,0,0,1,0,0,0
242.2,2,6,1,3,0,0,1,0,0,0,0,0,0,0
173,1,3,2,2,0,0,1,0,0,0,0,0,0,0
40.136,2,2,1,1,0,0,1,0,0,0,0,0,0,0
49.5,1,3,1,1,0,0,0,0,0,0,1,0,0,0
37.82,1,3,1,1,0,0,0,1,0,0,0,0,0,0
19.305,0,2,1,2,0,0,0,0,0,0,1,0,0,0
92.895,2.5,4,2,2,0,0,0,0,0,0,1,0,0,0
242.2,1,3,2,2,0,0,1,0,0,0,0,0,0,0
187.88,1,4,2,3,0,0,0,0,0,0,0,0,0,0
329,1,4,2,3,0,0,0,0,0,1,0,0,0,0
87.615,1,4,2,3,0,0,0,0,0,0,1,0,0,0
32.505,1,4,2,3,0,0,0,0,0,0,1,0,0,0
30.38,1,2,1,0,0,0,0,0,1,0,0,0,0,0
148.5,2,5,3,4,0,0,0,0,0,0,1,0,0,0
68.716,2,4,2,2,0,0,0,1,0,0,0,0,0,0
179.228,2,4,2,2,0,0,1,0,0,0,0,0,0,0
130.096,2,4,2,2,0,0,1,0,0,0,0,0,0,0
148.96,2,4,2,2,0,0,0,0,0,0,0,1,0,0
276.108,2,4,2,2,0,0,1,0,0,0,0,0,0,0
41.25,2,2,1,3,0,0,0,0,0,0,1,0,0,0
33.99,1,4,1,0,0,0,0,0,0,0,1,0,0,0
49.5,1,4,1,0,0,0,0,0,0,0,1,0,0,0
52.965,1,4,1,0,0,0,0,0,0,0,1,0,0,0
47.275,0,3,0,1,0,0,0,1,0,0,0,0,0,0
29.535,1,2,1,1,0,0,0,0,0,0,1,0,0,0
140,1,2,1,1,0,0,0,0,0,1,0,0,0,0
147.602,1,2,1,1,0,0,0,0,0,0,0,0,1,0
198,1,2,1,1,0,0,0,0,0,0,1,0,0,0
41.25,1,3,1,1,0,0,0,0,0,0,1,0,0,0
34.155,1,3,1,1,0,0,0,0,0,0,1,0,0,0
30.855,1,3,1,1,0,0,0,0,0,0,1,0,0,0
95.535,2,8,3,0,0,0,0,0,0,0,1,0,0,0
138.4,1.5,2,1,1,0,0,1,0,0,0,0,0,0,0
55.36,1.5,2,1,1,0,0,1,0,0,0,0,0,0,0
49.335,2,4,2,3,0,0,0,0,0,0,1,0,0,0
153.45,2,4,2,3,0,0,0,0,0,0,1,0,0,0
37.82,2,3,1,2,0,0,0,1,0,0,0,0,0,0
40.828,1.5,1,1,1,0,0,1,0,0,0,0,0,0,0
292.556,2.5,7,3,2,0,0,0,0,0,0,0,0,0,0
204.14,2,6,3,3,0,0,1,0,0,0,0,0,0,0
68.97,1,2,1,1,0,0,0,0,0,0,1,0,0,0
51.243,1,2,1,1,0,0,0,0,1,0,0,0,0,0
79.035,2,6,3,1,0,0,0,0,0,0,1,0,0,0
44.919,2,5,2,2,0,0,0,0,1,0,0,0,0,0
230.72,2,7,2,4,0,0,0,0,0,0,0,1,0,0
55.8,1,2,1,0,0,0,0,0,1,0,0,0,0,0
66,1,2,1,0,0,0,0,0,0,0,1,0,0,0
49.005,1,2,1,0,0,0,0,0,0,0,1,0,0,0
47.275,1,3,1,2,0,0,0,1,0,0,0,0,0,0
59.4,1,3,1,2,0,0,0,0,0,0,1,0,0,0
115.995,4,7,3,7,0,0,0,0,0,0,1,0,0,0
60.512,1.5,2,1,1,0,0,0,1,0,0,0,0,0,0
29.7,1,3,1,4,0,0,0,0,0,0,1,0,0,0
28.365,1,4,0,4,0,0,0,1,0,0,0,0,0,0
41.25,2,4,1,2,0,0,0,0,0,0,1,0,0,0
24.915,1,4,1,2,0,0,0,0,0,0,1,0,0,0
19.53,1,1,1,1,0,0,0,0,1,0,0,0,0,0
259.05,1,6,1,4,0,0,0,0,0,0,1,0,0,0
90.75,1.5,2,1,0,0,0,0,0,0,0,1,0,0,0
68.475,1.5,4,2,3,0,0,0,0,0,0,1,0,0,0
108.5,2,3,2,0,0,0,0,0,1,0,0,0,0,0
18.645,1,1,1,1,0,0,0,0,0,0,1,0,0,0
15.84,1,1,1,1,0,0,0,0,0,0,1,0,0,0
11.55,2,9,1,1,1,0,0,0,0,0,1,0,0,0
173,1,4,2,2,0,0,1,0,0,0,0,0,0,0
49.5,1,4,2,2,0,0,0,0,0,0,1,0,0,0
131.34,1,5,3,0,0,0,0,0,0,0,1,0,0,0
26.895,1,1,1,1,0,0,0,0,0,0,1,0,0,0
14.85,1,1,1,1,0,0,0,0,0,0,1,0,0,0
13.795,1,2,1,1,0,0,0,0,1,0,0,0,0,0
83.732,1,2,1,1,0,0,1,0,0,0,0,0,0,0
80.52,1,2,1,1,0,0,0,0,0,0,0,0,0,0
113.488,1,2,1,1,0,0,1,0,0,0,0,0,0,0
46.283,1,2,1,1,0,1,0,0,1,0,0,0,0,0
200,2,4,2,3,0,0,0,0,0,1,0,0,0,0
77.5,2,5,3,3,0,0,0,0,1,0,0,0,0,0
80.64,1,2,1,2,0,0,0,0,0,0,0,1,0,0
42,1.5,1,1,0,0,0,0,0,0,0,0,0,1,0
71.68,1,2,1,1,0,0,0,0,0,0,0,1,0,0
