"price","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","bathrooms","accomodate","bedrooms","beds","Shared room","Hotel room","France","Argentine","USA","Australie","Espagne","Bresil","Thaïlande","Japon"
352.8,5,5,5,5,5,5,2,8,2,4,0,0,1,0,0,0,0,0,0,0
50.112,5,5,5,5,5,5,1,3,1,2,0,0,0,1,0,0,0,0,0,0
149,4.93,5,4.87,5,5,4.93,1,2,2,0,0,0,0,0,1,0,0,0,0,0
95,4.92,4.85,4.77,4.92,4.92,4.85,1,2,1,1,0,0,0,0,1,0,0,0,0,0
60.39,5,5,5,5,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0
241.56,5,5,4.67,5,5,5,1,3,2,1,0,0,0,0,0,0,0,0,0,0
351.604,5,5,5,5,4.5,5,2.5,8,4,6,0,0,0,0,0,0,0,0,0,0
242.2,4.94,5,4.94,4.94,5,4.81,2,9,5,5,0,0,0,0,0,1,0,0,0,0
53,5,5,5,5,5,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0
53,4,4,3,4,4.5,4.5,1,1,0,1,0,0,0,0,1,0,0,0,0,0
152.24,5,5,5,5,5,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0
34.577,5,5,5,5,5,5,1,3,0,2,0,0,0,1,0,0,0,0,0,0
34.17,5,5,5,4.89,5,5,1,3,0,2,0,0,0,1,0,0,0,0,0,0
24.583,5,5,5,5,5,5,1,3,0,2,0,0,0,1,0,0,0,0,0,0
76.16,4.83,4.67,4.33,5,5,5,1,2,3,2,0,0,0,0,0,0,1,0,0,0
59.434,5,5,5,5,5,5,2.5,4,2,3,0,0,0,1,0,0,0,0,0,0
124.56,4.8,4.8,4.8,4.8,5,4.8,2.5,5,2,3,0,0,0,0,0,1,0,0,0,0
221.44,5,5,5,5,5,5,1,5,2,3,0,0,0,0,0,1,0,0,0,0
315.84,5,5,5,5,5,5,2,5,3,4,0,0,0,0,0,0,1,0,0,0
272.16,5,4.8,5,5,5,5,2,8,3,3,0,0,1,0,0,0,0,0,0,0
125.944,5,5,5,5,5,5,2,4,2,2,0,0,0,0,0,1,0,0,0,0
126.56,5,5,5,5,5,5,2,4,2,2,0,0,1,0,0,0,0,0,0,0
259.006,5,5,5,5,5,5,2,4,2,2,0,0,0,0,0,0,0,0,0,0
110.028,5,5,4.92,4.85,5,4.92,2,4,2,2,0,0,0,0,0,1,0,0,0,0
297,4.86,5,4.86,4.86,5,5,2,4,2,2,0,0,0,0,1,0,0,0,0,0
248.27,5,5,4.92,4.92,5,4.92,2,4,2,2,0,0,0,0,0,0,0,0,0,0
250.954,5,5,5,5,5,5,2,4,2,2,0,0,0,0,0,0,0,0,0,0
152.24,5,5,5,5,5,5,1,2,1,1,0,0,0,0,0,1,0,0,0,0
134.2,5,5,4,5,5,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0
100.65,5,5,4.67,5,5,4.67,0.5,2,1,1,0,0,0,0,0,0,0,0,0,0
101,5,5,5,5,5,4,1,2,1,1,0,0,0,0,1,0,0,0,0,0
165.388,5,5,5,5,5,5,1,2,1,1,0,0,0,0,0,1,0,0,0,0
85.888,5,5,5,5,5,5,1,4,2,6,0,0,0,0,0,0,0,0,0,0
346.236,4.83,4.83,5,5,4.83,4.5,2,7,3,4,0,0,0,0,0,0,0,0,0,0
268.4,5,4.5,4.5,5,4.5,5,2,6,2,2,0,0,0,0,0,0,0,0,0,0
161.04,4.9,5,4.9,5,5,4.9,1,2,2,2,0,0,0,0,0,0,0,0,0,0
134.2,5,5,5,5,5,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0
25.661,4.9,4.9,4.8,5,5,5,1,3,0,3,0,0,0,1,0,0,0,0,0,0
110.028,5,5,5,4.5,5,4.5,1,10,3,5,0,0,0,0,0,1,0,0,0,0
186.148,5,5,5,5,5,5,2.5,6,3,4,0,0,0,0,0,1,0,0,0,0
135,5,5,5,5,5,5,2,6,1,1,0,0,0,0,1,0,0,0,0,0
52.409,5,5,4.82,5,5,5,1.5,2,1,1,0,0,0,1,0,0,0,0,0,0
48.44,5,5,5,5,5,5,1,4,2,1,0,0,0,0,0,1,0,0,0,0
201.6,5,5,4.75,5,4.75,4.5,2,8,4,4,0,0,0,0,0,0,1,0,0,0
52.338,5,5,4.67,5,5,4.67,1,3,1,1,0,0,0,0,0,0,0,0,0,0
28.365,5,5,5,5,5,5,1,2,1,2,0,0,0,1,0,0,0,0,0,0
67.537,5,5,4.92,5,5,5,2.5,10,3,4,0,0,0,1,0,0,0,0,0,0
26.296,5,5,5,5,5,5,1.5,2,1,1,0,0,0,0,0,1,0,0,0,0
63.074,5,5,5,5,5,4.5,1.5,2,1,1,0,0,0,0,0,0,0,0,0,0
98,5,5,5,5,5,5,1,4,1,2,0,0,0,0,1,0,0,0,0,0
190.564,5,5,5,5,5,5,1,10,3,4,0,0,0,0,0,0,0,0,0,0
273,5,5,5,5,5,5,3,10,4,5,0,0,0,0,1,0,0,0,0,0
75.64,5,5,4.83,4.83,5,5,2,4,2,3,0,0,0,1,0,0,0,0,0,0
79.422,5,5,5,4.5,5,5,2,4,2,3,0,0,0,1,0,0,0,0,0,0
54.839,5,5,4.89,4.89,5,4.89,2,4,2,3,0,0,0,1,0,0,0,0,0,0
118.188,5,5,5,4.96,5,5,2,4,2,3,0,0,0,1,0,0,0,0,0,0
75.64,5,5,5,5,5,4.96,2,4,2,3,0,0,0,1,0,0,0,0,0,0
106,4.67,4.67,5,4,4.33,4,2,4,2,3,0,0,0,0,1,0,0,0,0,0
260,5,5,5,5,5,5,1,6,2,3,0,0,0,0,1,0,0,0,0,0
112,5,5,5,5,5,5,1,6,1,3,0,0,1,0,0,0,0,0,0,0
73.81,5,5,5,5,5,5,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0
159,5,5,4.8,5,5,5,1,5,2,3,0,0,0,0,1,0,0,0,0,0
90.652,5,5,5,5,5,5,1,2,1,1,0,0,0,0,0,1,0,0,0,0
93.42,5,5,5,5,5,4.9,1,2,1,1,0,0,0,0,0,1,0,0,0,0
47.056,4.91,4.91,4.86,4.95,5,5,1.5,1,1,1,0,0,0,0,0,1,0,0,0,0
27.68,4.8,5,5,5,5,5,1.5,1,1,1,0,0,0,0,0,1,0,0,0,0
60,5,5,5,5,5,5,1.5,1,1,1,0,0,0,0,1,0,0,0,0,0
127.49,4.75,4.75,5,5,5,4.63,2,3,2,2,0,0,0,0,0,0,0,0,0,0
29.178,5,4.96,5,4.98,5,5,1,2,1,1,0,0,0,1,0,0,0,0,0,0
260.96,5,5,5,5,5,5,1,3,1,2,0,0,1,0,0,0,0,0,0,0
296,5,5,4.33,5,5,5,3,5,2,2,0,0,0,0,1,0,0,0,0,0
112,5,5,5,5,5,5,2,5,2,0,0,0,1,0,0,0,0,0,0,0
76.12,4.83,4.83,5,5,5,4.83,2,2,1,1,0,0,0,0,0,1,0,0,0,0
144.48,5,5,5,4.5,5,4.75,1.5,4,1,2,0,0,1,0,0,0,0,0,0,0
40.723,5,5,5,5,5,5,1.5,4,1,2,0,0,0,1,0,0,0,0,0,0
112,5,5,4.94,5,4.94,4.88,1.5,4,1,2,0,0,1,0,0,0,0,0,0,0
21.747,5,5,5,5,5,5,1,2,0,3,0,0,0,1,0,0,0,0,0,0
73.38,5,5,4.67,5,5,5,1.5,6,2,2,0,0,0,1,0,0,0,0,0,0
58.144,5,5,5,5,5,5,1,4,2,4,0,0,0,1,0,0,0,0,0,0
69.2,5,5,5,5,5,5,1,3,1,0,0,0,0,0,0,1,0,0,0,0
18.91,5,5,4.83,4.83,4.83,5,1,3,1,0,0,0,0,1,0,0,0,0,0,0
174.46,5,5,5,5,5,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0
174.46,5,5,4.8,5,5,4.8,1,3,2,2,0,0,0,0,0,0,0,0,0,0
253.638,5,5,5,5,5,5,1,3,2,2,0,0,0,0,0,0,0,0,0,0
39.711,5,5,5,5,5,5,1.5,5,2,4,0,0,0,1,0,0,0,0,0,0
85.888,4.5,4.5,5,4.5,5,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0
233,5,5,5,5,5,5,2,6,3,3,0,0,0,0,1,0,0,0,0,0
202,5,5,5,5,5,5,2,6,3,3,0,0,0,0,1,0,0,0,0,0
301.02,5,5,5,5,5,5,2,6,3,3,0,0,0,0,0,1,0,0,0,0
195,4.97,5,4.9,5,5,5,2,6,3,3,0,0,0,0,1,0,0,0,0,0
92.96,5,4.8,4.8,5,5,5,1.5,2,1,0,0,0,1,0,0,0,0,0,0,0
268.4,5,5,5,4.8,5,5,2,5,2,3,0,0,0,0,0,0,0,0,0,0
187.88,5,5,5,5,5,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0
80.272,5,5,5,5,5,5,1,2,1,1,0,0,0,0,0,1,0,0,0,0
280.478,5,5,5,5,5,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0
190.564,5,5,5,5,5,4.83,1,2,1,1,0,0,0,0,0,0,0,0,0,0
24.857,5,5,4.9,5,5,5,1,2,1,1,0,0,0,1,0,0,0,0,0,0
253.638,5,5,4.96,4.88,4.96,4.75,1,2,1,1,0,0,0,0,0,0,0,0,0,0
